,SF6
2074-01-16 12:00:00,32.05923
2074-02-15 00:00:00,32.08052
2074-03-16 12:00:00,32.098335
2074-04-16 00:00:00,32.149033
2074-05-16 12:00:00,32.232582
2074-06-16 00:00:00,32.257412
2074-07-16 12:00:00,32.18816
2074-08-16 12:00:00,32.226955
2074-09-16 00:00:00,32.321873
2074-10-16 12:00:00,32.382397
2074-11-16 00:00:00,32.445805
2074-12-16 12:00:00,32.478786
2075-01-16 12:00:00,32.50621
2075-02-15 00:00:00,32.52721
2075-03-16 12:00:00,32.544678
2075-04-16 00:00:00,32.59549
2075-05-16 12:00:00,32.679615
2075-06-16 00:00:00,32.704193
2075-07-16 12:00:00,32.633404
2075-08-16 12:00:00,32.672153
2075-09-16 00:00:00,32.76781
2075-10-16 12:00:00,32.828598
2075-11-16 00:00:00,32.892315
2075-12-16 12:00:00,32.92518
2076-01-16 12:00:00,32.952423
2076-02-15 00:00:00,32.973145
2076-03-16 12:00:00,32.990295
2076-04-16 00:00:00,33.04124
2076-05-16 12:00:00,33.125954
2076-06-16 00:00:00,33.150303
2076-07-16 12:00:00,33.077988
2076-08-16 12:00:00,33.116695
2076-09-16 00:00:00,33.213085
2076-10-16 12:00:00,33.274113
2076-11-16 00:00:00,33.338108
2076-12-16 12:00:00,33.37084
2077-01-16 12:00:00,33.39786
2077-02-15 00:00:00,33.418278
2077-03-16 12:00:00,33.43507
2077-04-16 00:00:00,33.486115
2077-05-16 12:00:00,33.571384
2077-06-16 00:00:00,33.59548
2077-07-16 12:00:00,33.521614
2077-08-16 12:00:00,33.560276
2077-09-16 00:00:00,33.65739
2077-10-16 12:00:00,33.718685
2077-11-16 00:00:00,33.78298
2077-12-16 12:00:00,33.815598
2078-01-16 12:00:00,33.84244
2078-02-15 00:00:00,33.862587
2078-03-16 12:00:00,33.87907
2078-04-16 00:00:00,33.930256
2078-05-16 12:00:00,34.016117
2078-06-16 00:00:00,34.039997
2078-07-16 12:00:00,33.96461
2078-08-16 12:00:00,34.003235
2078-09-16 00:00:00,34.101074
2078-10-16 12:00:00,34.162617
2078-11-16 00:00:00,34.2272
2078-12-16 12:00:00,34.25967
2079-01-16 12:00:00,34.2863
2079-02-15 00:00:00,34.306137
2079-03-16 12:00:00,34.322258
2079-04-16 00:00:00,34.373547
2079-05-16 12:00:00,34.459946
2079-06-16 00:00:00,34.48357
2079-07-16 12:00:00,34.406647
